team,season,total_snaps,yards_gained,touchdown,extra_point_attempt,field_goal_attempt,total_points,td_points,xp_points,fg_points,fumble,fumble_lost,shotgun,no_huddle,qb_dropback,pass_snaps_count,pass_snaps_pct,pass_attempts,complete_pass,incomplete_pass,air_yards,passing_yards,pass_td,interception,targets,receptions,receiving_yards,yards_after_catch,receiving_td,pass_fumble,pass_fumble_lost,rush_snaps_count,rush_snaps_pct,qb_scramble,rushing_yards,run_td,run_fumble,run_fumble_lost,home_wins,home_losses,home_ties,away_wins,away_losses,away_ties,wins,losses,ties,win_pct,record,yps
CIN,2012,995,9147,43,43,30,391,258,43,90,16,10,457,24,602,583,0.59,521,335,186,4681,3807,32,16,521,335,3807,1695,32,11,8,412,0.41,19,1762,11,5,2,4,4,0,6,2,0,10,6,0,0.625,"	10-6-0",9.19
CIN,2013,1077,10224,51,52,18,412,306,52,54,16,10,560,46,642,616,0.57,566,364,202,5023,4318,35,20,566,364,4318,2080,35,9,7,461,0.43,26,1770,15,7,3,8,0,0,3,5,0,11,5,0,0.688,"	11-5-0",9.49
CIN,2014,1006,9136,43,39,26,375,258,39,78,17,8,576,92,545,527,0.52,486,323,163,3887,3551,22,17,486,323,3551,1812,22,9,5,479,0.48,18,2162,19,8,3,5,3,1,5,3,0,10,6,1,0.588,"	10-6-1",9.08
CIN,2015,988,9852,52,48,23,429,312,48,69,15,8,619,90,572,537,0.54,496,334,162,4432,4104,33,9,496,334,4104,1803,33,6,3,451,0.46,35,1823,19,9,5,6,2,0,6,2,0,12,4,0,0.75,"	12-4-0",9.97
CIN,2016,1039,9925,35,29,28,323,210,29,84,13,7,661,66,624,602,0.58,553,364,189,4416,4206,18,8,553,364,4206,1820,18,8,5,437,0.42,22,1777,17,5,2,4,4,1,2,6,0,6,10,1,0.353,"	6-10-1",9.55
CIN,2017,908,7884,33,32,18,284,198,32,54,14,9,599,36,560,549,0.6,497,304,193,4169,3386,26,12,497,304,3378,1753,26,10,6,359,0.4,11,1384,6,4,3,4,4,0,3,5,0,7,9,0,0.438,"	7-9-0",8.68
CIN,2018,933,8549,42,39,19,348,252,39,57,9,3,616,32,603,580,0.62,526,331,195,4359,3569,28,13,526,331,3569,1648,28,6,2,353,0.38,24,1688,13,3,1,4,4,0,2,6,0,6,10,0,0.375,"	6-10-0",9.16
CIN,2019,1037,9179,33,24,27,303,198,24,81,21,12,718,37,675,659,0.64,593,356,237,5022,3994,23,16,593,356,3994,1753,23,17,12,378,0.36,16,1529,9,4,0,2,6,0,0,8,0,2,14,0,0.125,"	2-14-0",8.85
CIN,2020,1030,8917,35,32,27,323,210,32,81,19,12,790,21,649,626,0.61,567,372,195,4731,3793,20,11,567,372,3793,1788,20,11,7,404,0.39,23,1676,14,8,5,3,5,0,1,7,1,4,12,1,0.235,"	4-12-1",8.66
CIN,2021,1037,10964,55,47,29,464,330,47,87,13,5,647,49,630,610,0.59,538,384,154,4395,4806,38,14,538,384,4806,2416,38,10,4,427,0.41,20,1753,17,3,1,5,4,0,5,3,0,10,7,0,0.588,"	10-7-0",10.57
CIN,2022,1034,10318,51,40,24,418,306,40,72,8,5,812,44,685,658,0.64,597,418,179,4173,4520,37,12,597,418,4520,2147,37,8,5,376,0.36,27,1552,14,0,0,6,1,0,6,3,0,12,4,0,0.75,"	12-4-0",9.98
CIN,2023,1032,9697,40,40,26,358,240,40,78,9,2,881,35,695,665,0.64,600,420,180,3878,4257,28,14,600,420,4257,2368,28,8,2,367,0.36,30,1543,12,1,0,6,3,0,3,5,0,9,8,0,0.529,"	9-8-0",9.4
CLE,2012,991,8694,31,29,29,302,186,29,87,17,5,301,12,617,601,0.61,547,328,219,4258,3668,18,18,547,328,3659,1859,18,9,5,390,0.39,16,1600,12,8,0,4,4,0,1,7,0,5,11,0,0.313,"	5-11-0",8.77
CLE,2013,1072,9808,34,33,21,300,204,33,63,14,7,637,42,750,729,0.68,659,379,280,5651,4372,29,20,659,379,4372,1975,29,11,5,343,0.32,21,1387,4,3,2,3,5,0,1,7,0,4,12,0,0.25,"	4-12-0",9.15
CLE,2014,1005,8877,30,30,25,285,180,30,75,12,6,408,157,550,533,0.53,485,274,211,5030,3678,12,16,485,274,3678,1544,12,5,2,472,0.47,18,1734,18,7,4,4,4,0,3,5,0,7,9,0,0.438,"	7-9-0",8.83
CLE,2015,1039,9477,29,22,29,283,174,22,87,24,15,697,48,706,665,0.64,596,371,225,4871,4156,22,12,596,371,4156,1953,22,19,11,374,0.36,41,1535,5,5,4,2,6,0,1,7,0,3,13,0,0.188,"	3-13-0",9.12
CLE,2016,983,8675,30,23,21,266,180,23,63,24,11,703,146,660,635,0.65,551,338,213,4852,3693,17,14,551,338,3693,1694,17,11,6,348,0.35,25,1714,13,13,5,1,7,0,0,8,0,1,15,0,0.063,"	1-15-0",8.83
CLE,2017,1005,8484,31,25,15,256,186,25,45,17,11,730,91,673,623,0.62,545,312,233,5188,3537,19,28,545,312,3537,1743,19,11,9,382,0.38,50,1717,11,6,2,0,8,0,0,8,0,0,16,0,0,"	0-16-0",8.44
CLE,2018,1016,10181,46,28,19,361,276,28,57,17,6,642,48,643,616,0.61,553,353,200,5450,4261,31,17,553,353,4261,1913,31,11,5,400,0.39,27,1905,15,6,1,5,3,1,2,6,0,7,9,1,0.412,"	7-9-1",10.02
CLE,2019,967,9308,39,30,25,339,234,30,75,11,6,646,45,597,580,0.6,516,318,198,4628,3847,23,21,516,318,3847,1825,23,6,4,387,0.4,17,1907,16,5,2,4,4,0,2,6,0,6,10,0,0.375,"	6-10-0",9.63
CLE,2020,1004,9631,49,43,19,394,294,43,57,19,8,429,40,548,523,0.52,488,315,173,4238,3701,28,8,488,315,3701,1405,28,11,5,481,0.48,25,2387,21,8,3,6,2,0,5,3,0,11,5,0,0.688,"	11-5-0",9.59
CLE,2021,1043,9415,42,37,16,337,252,37,48,15,8,529,78,600,569,0.55,503,320,183,4278,3619,22,14,503,320,3606,1755,22,10,7,474,0.45,31,2483,20,5,1,6,3,0,2,6,0,8,9,0,0.471,"	8-9-0",9.03
CLE,2022,1099,9655,38,35,24,335,228,35,72,13,8,651,138,615,580,0.53,523,335,188,4453,3710,19,12,523,335,3710,1593,19,9,6,519,0.47,35,2499,19,4,2,4,4,0,3,6,0,7,10,0,0.412,"	7-10-0",8.79
CLE,2023,1181,9744,44,30,34,396,264,30,102,23,13,776,73,696,667,0.56,597,355,242,5299,4011,29,23,597,355,4011,1853,29,15,8,514,0.44,29,2028,15,8,5,8,1,0,3,5,0,11,6,0,0.647,"	11-6-0",8.25
